Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2021","2021","","232.61","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2022","2022","","250.85","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2023","2023","","267.34","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2016","2016","","157.17","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2017","2017","","166.1","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2018","2018","","178.23","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2019","2019","","174.73","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2020","2020","","196.84","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2021","2021","","221.35","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2022","2022","","236.92","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01353.01","Raspberries","2023","2023","","250.3","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2016","2016","","102.03","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2017","2017","","103.43","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2018","2018","","105.52","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2019","2019","","107.9","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2020","2020","","110.43","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2021","2021","","112.98","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2022","2022","","115.2","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2023","2023","","117.21","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2016","2016","","101.02","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2017","2017","","101.45","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2018","2018","","102.53","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2019","2019","","103.85","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2020","2020","","105.41","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2021","2021","","107.13","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2022","2022","","108.42","E","Estimated value"
